|6.6.6
1,0_0,2_0,0_0,0_0,0_0,0_MANTLE_1.tab                                                                
           2
T(K)    
   2200.0000000000000     
   456.41025641025641     
          40
P(bar)  
   1250000.0000000000     
   4839743.5897435900     
          40
          23
T(K)           P(bar)         rho,kg/m3      v0,km/s        vp,km/s        vs,km/s        alpha,1/K      cp,J/K/kg      Wus,mo%        Pv,mo%         an,mo%         O,mo%          Wad,mo%        Ring,mo%       Gt_maj,mo%     Ppv,mo%        st,mo%         q,mo%          ca-pv,mo%      cfs,mo%        coe,mo%        ky,mo%         seif,mo%      
  12697.44       1250000.       4224.028       10.57140       11.92772       4.784038      0.3901321E-04   2372.404      0.1144891E-02   0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       99.99886       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000    
  13153.85       1250000.       4146.076       10.57572       11.73539       4.405124      0.4277057E-04   2551.640      0.1144891E-02   0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       99.99886       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000    
  13610.26       1250000.       4061.615       10.58812       11.51541       3.920745      0.4766458E-04   2786.547      0.1144891E-02   0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       99.99886       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000    
  14066.67       1250000.       3968.488       10.61279       11.25692       3.250392      0.5438489E-04   3111.514      0.1144891E-02   0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       99.99886       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000    
  14523.08       1250000.       3863.058       10.65782       10.94088       2.141331      0.6437024E-04   3598.859      0.1144891E-02   0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       99.99886       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000    
  14979.49       1250000.       3738.272       10.74168       12.90987       6.201674      0.8127679E-04   4434.307      0.1144891E-02   0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       99.99886       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000    
  15435.90       1250000.       3576.682       10.92085       13.12519       6.305093      0.1183834E-03   6303.547      0.1144891E-02   0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       99.99886       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000    
  15892.31       1250000.       3300.711       11.52681       13.85336       6.654786      0.2913148E-03   15467.36      0.1144891E-02   0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       99.99886       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000    
  16348.72       1250000.       4521.293       9.748283       0.000000       0.000000      0.9036321E-05   1426.782       50.00029       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       49.99971       0.000000       0.000000       0.000000       0.000000       0.000000    
  16805.13       1250000.       4502.192       9.720007       0.000000       0.000000      0.9529372E-05   1443.493       50.00029       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       49.99971       0.000000       0.000000       0.000000       0.000000       0.000000    
  17261.54       1250000.       4482.085       9.689181       0.000000       0.000000      0.1010185E-04   1462.831       50.00029       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       49.99971       0.000000       0.000000       0.000000       0.000000       0.000000    
  17717.95       1250000.       4460.803       9.655259       0.000000       0.000000      0.1077776E-04   1485.589       50.00029       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       49.99971       0.000000       0.000000       0.000000       0.000000       0.000000    
  18174.36       1250000.       4438.120       9.617569       0.000000       0.000000      0.1159274E-04   1512.939       50.00029       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       49.99971       0.000000       0.000000       0.000000       0.000000       0.000000    
  18630.77       1250000.       4413.728       9.575195       0.000000       0.000000      0.1260243E-04   1546.707       50.00029       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       49.99971       0.000000       0.000000       0.000000       0.000000       0.000000    
  19087.18       1250000.       4387.182       9.526730       0.000000       0.000000      0.1389966E-04   1589.947       50.00029       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       49.99971       0.000000       0.000000       0.000000       0.000000       0.000000    
  19543.59       1250000.       4357.802       9.470018       0.000000       0.000000      0.1565392E-04   1648.222       50.00029       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       49.99971       0.000000       0.000000       0.000000       0.000000       0.000000    
  20000.00       1250000.       4324.447       9.401739       0.000000       0.000000      0.1821953E-04   1733.137       50.00029       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       49.99971       0.000000       0.000000       0.000000       0.000000       0.000000    
